Departamento,Municipio,Localidad,Recinto,CantidadMesas,TotalInscritos,AP,ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,MORENA,UNIDAD,PDC,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal,latitu,longitud,Cincun,Descripcion_RuralUrbano,ValorMax,ColumnaMax,Dominio_Abs,VotosNulos_Ajus
Chuquisaca,Azurduy,Azurduy,Unidad Educativa Nicanor Lopez,16,3816,186,50,139,520,111,312,0,138,707,2163,496,541,4,545,3204,2163,3204,-20.1051693,-64.41361237,4,Urbano,707,PDC,Ninguno > 50%,523
Chuquisaca,Azurduy,Torrecillas,Escuela Torrecillas,2,312,12,1,7,26,6,45,0,7,42,146,54,41,1,42,242,146,242,-19.96693039,-64.39716339,4,Rural,45,MAS_IPSP,Ninguno > 50%,40
Chuquisaca,Azurduy,Huancarani,Escuela Huancarani,2,232,7,2,5,0,1,7,0,0,16,38,42,104,2,106,186,38,186,-20.23410988,-64.47901154,4,Rural,104,VotoNuloDirecto,Ninguno > 50%,102
Chuquisaca,Azurduy,Pinos,Escuela Pinos,4,594,26,4,7,3,3,11,0,0,9,63,66,355,0,355,484,63,484,-20.34589005,-64.45397186,4,Rural,355,VotoNuloDirecto,Ninguno > 50%,341
Chuquisaca,Azurduy,Rodeo Chico,Escuela  Rodeo Chico,4,918,33,6,9,10,27,13,0,10,43,151,121,462,4,466,738,151,738,-20.25530052,-64.54441833,4,Rural,462,VotoNuloDirecto,Ninguno > 50%,447
Chuquisaca,Azurduy,Tablani,Escuela Tablani,4,600,17,6,7,16,5,15,0,1,21,88,85,333,0,333,506,88,506,-20.06023979,-64.56427765,4,Rural,333,VotoNuloDirecto,Ninguno > 50%,320
Chuquisaca,Azurduy,Santa Rosa,Unidad Educativa Santa Rosa,2,382,15,9,16,6,10,63,0,18,62,199,85,36,2,38,322,199,322,-19.88199043,-64.40013123,4,Rural,63,MAS_IPSP,Ninguno > 50%,36
Chuquisaca,Azurduy,Duraznal,Escuela Duraznal,4,524,25,4,6,11,8,10,0,2,10,76,71,289,0,289,436,76,436,-20.41270065,-64.42478943,4,Rural,289,VotoNuloDirecto,Ninguno > 50%,277
Chuquisaca,Azurduy,San Roque,Unidad Educativa San Roque,2,368,10,3,6,5,11,30,0,4,18,87,59,172,2,174,320,87,320,-20.13549042,-64.51525879,4,Rural,172,VotoNuloDirecto,Ninguno > 50%,167
Chuquisaca,Azurduy,Collpamayu,U.E. Collpamayu,4,970,19,8,10,2,10,22,0,3,60,134,162,478,2,480,776,134,776,-20.08842087,-64.51799774,4,Rural,478,VotoNuloDirecto,Ninguno > 50%,461
Chuquisaca,Camargo,Camargo,Colegio Bolivia,22,5054,338,64,485,631,17,149,0,934,703,3321,521,519,1,520,4362,3321,4362,-20.63960075,-65.20851898,5,Urbano,934,UNIDAD,Ninguno > 50%,499
Chuquisaca,Camargo,Camargo,Colegio Nacional Mixto 3 De Abril,26,5974,424,56,601,686,36,135,0,975,960,3873,638,689,2,691,5202,3873,5202,-20.64258957,-65.21045685,5,Urbano,975,UNIDAD,Ninguno > 50%,663
Chuquisaca,Camargo,Camargo,(Cárcel) Carceleta Pública de Camargo,2,202,22,4,11,2,0,5,0,11,74,129,30,31,0,31,190,129,190,-20.64096069,-65.20865631,5,Urbano,74,PDC,PDC > 50%,30
Chuquisaca,Camargo,Tacaquira,Unidad Educativa Tacaquira,4,688,112,11,17,26,6,19,0,48,89,328,123,147,2,149,600,328,600,-20.54018021,-65.14967346,5,Rural,147,VotoNuloDirecto,Ninguno > 50%,143
Chuquisaca,Camargo,Muyuquiri,Unidad Educativa Muyuquiri,6,1188,192,18,37,22,21,28,0,44,142,504,179,323,0,323,1006,504,1006,-20.49725914,-65.14723206,5,Rural,323,VotoNuloDirecto,Ninguno > 50%,310
Chuquisaca,Camargo,Suquistaca,Unidad Educativa Suquistaca,2,510,39,5,6,16,8,15,0,14,48,151,98,191,0,191,440,151,440,-20.38404083,-65.09562683,5,Rural,191,VotoNuloDirecto,Ninguno > 50%,183
Chuquisaca,Camargo,Río Chico,U.E. El Porvenir,2,404,21,2,64,44,1,8,0,32,62,234,51,73,0,73,358,234,358,-20.69514084,-65.22445679,5,Rural,73,VotoNuloDirecto,Ninguno > 50%,70
Chuquisaca,Camargo,Palca Grande,Unidad Educativa Palca Grande,2,392,18,8,30,50,3,10,0,79,51,249,58,27,0,27,334,249,334,-20.74559975,-65.23848724,5,Rural,79,UNIDAD,Ninguno > 50%,26
Chuquisaca,Camargo,Higuera Huayco,Unidad Educativa Higuera Huayco,2,512,37,6,10,46,8,21,0,61,82,271,83,58,0,58,412,271,412,-20.79874039,-65.22170258,5,Rural,82,PDC,Ninguno > 50%,56
Chuquisaca,Camargo,Yurac Caballo,Escuela Yurac Caballo,2,414,77,10,10,23,2,16,0,23,38,199,64,97,0,97,360,199,360,-20.74503899,-65.1319809,5,Rural,97,VotoNuloDirecto,Ninguno > 50%,93
Chuquisaca,Camargo,Lintaca,Unidad Educativa Lintaca,2,88,10,2,6,14,0,0,0,11,8,51,13,2,0,2,66,51,66,-20.70260048,-65.35549927,5,Rural,14,LIBRE,Ninguno > 50%,2
Chuquisaca,Camargo,La Quemada,Escuela La Quemada,2,238,16,2,19,19,2,17,0,38,10,123,53,32,0,32,208,123,208,-20.7514801,-65.29808044,5,Rural,38,UNIDAD,Ninguno > 50%,31
Chuquisaca,Camargo,Carpachacra,Unidad Educativa Carpachacra,2,274,26,8,39,8,6,6,0,17,20,130,65,59,0,59,254,130,254,-20.64245033,-65.34410095,5,Rural,59,VotoNuloDirecto,Ninguno > 50%,57
Chuquisaca,Camargo,El Churo,Escuela El Churo,2,148,6,8,7,3,0,6,0,13,13,56,23,33,0,33,112,56,112,-20.63204002,-65.13124084,5,Rural,33,VotoNuloDirecto,Ninguno > 50%,32
Chuquisaca,Camargo,Huaca Cancha,Unidad Educativa Huaca Cancha,2,298,19,3,8,7,2,17,0,3,9,68,47,131,0,131,246,68,246,-20.47788048,-64.95025635,5,Rural,131,VotoNuloDirecto,Ninguno > 50%,126
Chuquisaca,Camargo,Cueva Pampa,Unidad Educativa Cueva Pampa,2,478,38,4,13,9,8,9,0,6,42,129,78,152,1,153,360,129,360,-20.45595932,-65.04715729,5,Rural,152,VotoNuloDirecto,Ninguno > 50%,147
Chuquisaca,Camargo,Jatun Quinray,Unidad Educativa Jatun Quinray,2,258,12,5,2,6,2,1,0,2,14,44,36,142,0,142,222,44,222,-20.58258057,-64.99163818,5,Rural,142,VotoNuloDirecto,Ninguno > 50%,136
Chuquisaca,Camargo,Quirucillani,Unidad Educativa Quirucillani,2,172,13,8,5,12,2,6,0,0,5,51,25,46,2,48,124,51,124,-20.43549919,-64.87470245,5,Rural,46,VotoNuloDirecto,Ninguno > 50%,46
Chuquisaca,Monteagudo,Monteagudo,Escuela Bernardo Monteagudo,24,5626,159,48,312,1144,46,147,0,577,1200,3633,599,507,1,508,4740,3633,4740,-19.80051994,-63.9541893,4,Urbano,1200,PDC,Ninguno > 50%,488
Chuquisaca,Monteagudo,Monteagudo,(Cárcel) Carceleta Pública de Monteagudo,2,280,62,4,10,53,1,5,0,8,29,172,44,44,0,44,260,172,260,-19.80285072,-63.95446014,4,Urbano,62,AP,Ninguno > 50%,42
Chuquisaca,Monteagudo,Monteagudo,U.E. Lucio Siles Morales,14,3388,111,33,188,647,26,103,0,398,763,2269,352,284,11,295,2916,2269,2916,-19.79634094,-63.95526123,4,Urbano,763,PDC,Ninguno > 50%,283
Chuquisaca,Monteagudo,Monteagudo,CEA Jorge Vargas Menduiña,10,2004,57,13,118,354,13,55,0,202,493,1305,244,174,1,175,1724,1305,1724,-19.80116844,-63.95266724,4,Urbano,493,PDC,Ninguno > 50%,168
Chuquisaca,Monteagudo,Bartolo,Nucleo Escolar Bartolo,2,172,10,1,5,8,2,4,0,7,78,115,28,17,0,17,160,115,160,-19.66221046,-64.03930664,4,Rural,78,PDC,PDC > 50%,16
Chuquisaca,Monteagudo,Comunidad Heredia,Escuela Pampa Heredia,2,328,9,11,10,21,8,8,0,15,74,156,52,54,0,54,262,156,262,-19.8031292,-64.06041718,4,Rural,74,PDC,Ninguno > 50%,52
